audit_version,book_id,catalog_generation,grade,viewer_key,viewer_page,original_http_status,html_final_url,html_key_references,candidate_content_key,candidate_is_original,candidate_asset_url,candidate_reachable_image,candidate_http_status,candidate_content_type,html_error
CN_ASSET_ROUTING_AUDIT_0.1,LTMD-CN3-G2018,2018,3,H2018P3CNA,28,404,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,H2018P3CNA,H2019P3CNA,0,https://historico.conaliteg.gob.mx/c/H2019P3CNA/028.jpg,1,206,image/jpeg,
CN_ASSET_ROUTING_AUDIT_0.1,LTMD-CN3-G2018,2018,3,H2018P3CNA,29,404,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,H2018P3CNA,H2018P3CNA,1,https://historico.conaliteg.gob.mx/c/H2018P3CNA/029.jpg,1,206,image/jpeg,
CN_ASSET_ROUTING_AUDIT_0.1,LTMD-CN3-G2018,2018,3,H2018P3CNA,29,404,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,H2018P3CNA,H2019P3CNA,0,https://historico.conaliteg.gob.mx/c/H2019P3CNA/029.jpg,1,206,image/jpeg,
CN_ASSET_ROUTING_AUDIT_0.1,LTMD-CN3-G2018,2018,3,H2018P3CNA,30,404,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,H2018P3CNA,H2018P3CNA,1,https://historico.conaliteg.gob.mx/c/H2018P3CNA/030.jpg,1,206,image/jpeg,
CN_ASSET_ROUTING_AUDIT_0.1,LTMD-CN3-G2018,2018,3,H2018P3CNA,30,404,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,H2018P3CNA,H2019P3CNA,0,https://historico.conaliteg.gob.mx/c/H2019P3CNA/030.jpg,1,206,image/jpeg,
CN_ASSET_ROUTING_AUDIT_0.1,LTMD-CN3-G2018,2018,3,H2018P3CNA,31,404,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,H2018P3CNA,H2018P3CNA,1,https://historico.conaliteg.gob.mx/c/H2018P3CNA/031.jpg,1,206,image/jpeg,
CN_ASSET_ROUTING_AUDIT_0.1,LTMD-CN3-G2018,2018,3,H2018P3CNA,31,404,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,H2018P3CNA,H2019P3CNA,0,https://historico.conaliteg.gob.mx/c/H2019P3CNA/031.jpg,1,206,image/jpeg,
CN_ASSET_ROUTING_AUDIT_0.1,LTMD-CN3-G2018,2018,3,H2018P3CNA,32,404,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,H2018P3CNA,H2018P3CNA,1,https://historico.conaliteg.gob.mx/c/H2018P3CNA/032.jpg,1,206,image/jpeg,
CN_ASSET_ROUTING_AUDIT_0.1,LTMD-CN3-G2018,2018,3,H2018P3CNA,32,404,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,H2018P3CNA,H2019P3CNA,0,https://historico.conaliteg.gob.mx/c/H2019P3CNA/032.jpg,1,206,image/jpeg,
CN_ASSET_ROUTING_AUDIT_0.1,LTMD-CN3-G2018,2018,3,H2018P3CNA,33,404,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,H2018P3CNA,H2018P3CNA,1,https://historico.conaliteg.gob.mx/c/H2018P3CNA/033.jpg,1,206,image/jpeg,
CN_ASSET_ROUTING_AUDIT_0.1,LTMD-CN3-G2018,2018,3,H2018P3CNA,33,404,https://historico.conaliteg.gob.mx/H2018P3CNA.htm,H2018P3CNA,H2019P3CNA,0,https://historico.conaliteg.gob.mx/c/H2019P3CNA/033.jpg,1,206,image/jpeg,
